author,content,cover,works
,"每次抑郁到最后总会感觉抑郁的没道理
可是下次还是会抑郁
",https://static.juzicon.com/yiyan/30b81ce27fcf0e0db6ab4ca7ec12be85.jpg,
,[自动回复] 抑郁症会笑，会有开心的情绪，他们不是一直抑郁，是在这种情绪里一直挣扎想逃出来。却又一次次被推下深渊。,,
,"你找文案…
不是让别人知道你有多丧 多伤感 多难受 多抑郁…
只是在找一个帮你诉说故事的人…",,
,“拥有极度抑郁和绝对理性的都是神”,,
,"精神病人不知道自己有病，所以伤害别人…抑郁症知道自己有病，不忍心伤害别人，所以伤害自己…
       ――网易热评《抑郁症以及其他》",,
,我要好好活着，我一定能战胜抑郁症。因为我还有好多事要做，我还有好多爱我的人。,,
,“抑郁不是病，只是在黑暗小角里的一朵花而已，当他绽开时，会很璀璨”,https://static.juzicon.com/contribute/image-8fd7f85e-c9c6-4425-8a20-3b290820eef2-201119221844-T8BN.jpg,
,"不要以为世界抛弃了你，世界根本就没需要过你。
最后那个恐高的人跳楼了；有着深海抑郁症的人跳海了；那个最怕疼的小女孩也拿着刀割了手腕，你说他们是想开了还是没想开？
时间从来不语，却回答了所有问题。
男孩子在意的是态度，女孩子在意的是细节。你做不到我想要的细节我凭什么给你你想要的态度",https://static.juzicon.com/contribute/image-b7cd60e7-bc16-4362-bf45-edba728524e9-200829150920-KBKO.jpg,
,孤独是孤独者的通行证，抑郁是抑郁者的墓志铭。,,
,"开灯睡觉，日夜颠倒，也怕无聊，闲下来就抑郁，没有东西可写，就翻来覆去看两三部电影，或是睡觉。也尝试喝酒，但第二天的头疼更要命，酒后话痨起来，也没人可说话，比寻常的孤单更寒冷些，熬不住。
——不知名反派角色《似犬一般》",https://static.juzicon.com/contribute/image-bc48af60-880a-4f23-ab19-011418373651-191019172838-KFCD.jpeg,
,对抑郁症患者说“生活这么美好，你为什么要抑郁呢？”   不就等于对哮喘病人说“这世界氧气这样充足，你怎么会呼吸困难呢？”吗,,
,"我也不知道为什么
整天嘻嘻哈哈的女孩子
会得抑郁症💔",https://static.juzicon.com/contribute/image-850bbc5b-6275-4d87-8d31-74746e65b2a6-191117220116-CGYJ.jpg,
