author,content,cover,works
,我们等候着青春，却错过了彼此…… 但我永远会记得，那年夏天，最灿烂、最寂寞的星空。,,《星空》
王源,抬头望星时，总是想家。无论黄沙还是绿地，星空总是承载着人们对故土的浓情。,https://static.juzicon.com/contribute/image-10d4f8c9-6b17-40b1-96a8-fa9c76b989d0-201021234649-B5MB.jpeg,《王源说》
王源,到了晚上，整片天空挂满了星斗，仿佛星空弯下腰来，给了草原一个拥抱。,https://static.juzicon.com/contribute/image-10d4f8c9-6b17-40b1-96a8-fa9c76b989d0-201021234817-RNJ4.jpeg,《王源说》
弘,為甚么萬丈光芒下容不得半點晦暗  無盡深淵卻承載浩瀚星空？,https://static.juzicon.com/contribute/image-5a9d3473-cd80-49ff-b690-cf5e93db3175-200327135726-VJFB.jpeg,《弘集》
,"仰望星空的人，
总以为星星就是宝石，
飞上星空的人知道，
那儿有灰尘、石渣，
和地球一样复杂。
                       一一一雷抒雁《星星》",https://static.juzicon.com/contribute/image-161a63f6-25f7-4cf7-92d4-24bd1f843275-210110140921-42AZ.jpg,
何炅,"青春是什么？青春就是输得起、看得开，青春就是去经历一切你未曾拥有却仍然向往的，青春就是再近的地方也要跑着去，青春就是在每一个当下，都能抬头，仰望星空，念念不忘自己的梦。梦想还是要有的，万一见鬼了呢。只要你坚持，实现梦想永远来得及。",,《来得及》
,你们说星空很美，我说你们是自我麻醉并不懂黑夜，其实我也不懂的你们,,
希行,"“你方才喊我君九龄,你能不能再喊我一次,只喊名字。”九龄。九龄。朱瓒的耳边响起那女子曾经说过的话。那星空之下的吵闹嬉闹,却原来藏着深沉的寂寞,藏着不能言明的孤独和怀念,只是想要被叫一声九龄。",,《君九龄》
,你在星空里，也胜似星空，我和你相隔很远很远的距离。星空之所以美丽，是因为在无边的宇宙中，不管黑暗和幽邃如何蔓延，都有星星的光芒点缀去把它照亮。你就像黑夜里的星星，曾把我的世界照亮。但最后只剩下了星空，虽然像以前一样陪着我，但我知道你已经离开了,https://static.juzicon.com/contribute/image-f070725b-299d-4790-af85-bc63aaa78600-200621170605-M4V2.jpeg,
,满天星星中，有一颗星星是最美丽的的，像流星的坠落，绚丽的点燃了整个星空，灿烂夺去了轮廓。在我的眼中，只有两种星星，你和非你。,,
,生活在阴沟也要记得仰望星空啊,,《少年的你》
,灿烂星空，几缕云烟，谁知夜得悲伤。,,
,"当你抬头仰望星空时、
你觉得你在看星星⭐、
其实星星也在看你啊。",https://static.juzicon.com/contribute/image-bcd21262-3ff5-4dee-84b4-484fb780d716-200717152240-P0EB.jpg,
,"星空那么壮美，我想和你一起去看看；草原那么辽阔，我想和你一起去跑跑；阳光那么温暖，我想和你一起去晒晒。世界这么多姿，所有的美好我都想同你一起感受。而先生，我这么真诚，你要不考虑余生与我共度？",,《我想》
刘慈欣,"The mankind’s courage and resolution will be witnessed and remembered by stars.

人类的勇气和坚毅必将被镌刻在星空之下。

——刘慈欣《流浪地球》",https://static.juzicon.com/contribute/image-b204b5f7-f1cb-4a3c-b1df-bbbdaf8fe056-200720235534-EXJH.jpg,《流浪地球》
桂媛,夜晚的大桥没什么人，我们站在桥中央，四面无人，星空之下，只听见河水流淌，晚风拂过，说不尽的温柔。,,《槐树花开》
,"就算世界上所有人都看不起你，认为你是墙边的污泥，但你清楚你不是
所以，如果你坚持信念，那么总有一天，星星会被人从污泥里拾起来，闪耀着它自己的光芒
我会仰望星空，希望看到最耀眼的你",https://static.juzicon.com/contribute/image-7249b350-8f01-46f1-a6d9-63c7f10a71de-210411133255-LXH1.jpeg,《上将的omega吸血鬼》
